Datetime,Open,High,Low,Close,Volume,SMA_10,SMA_50,Return_1h,Volatility,BB_Middle,BB_Upper,BB_Lower,RSI,TR,ATR_14,SMA_20,SMA_200,Momentum_10,Z_score_30,Rolling_max_60,Rolling_min_60,Range_60,Body_size,Is_bullish,Volume_change,Target
2012-07-19,9.1,9.2,8.92,9.2,2211.09593418,7.846000000000001,6.448200000000001,0.811023622047244,0.9844655552016716,7.219499999999999,8.932453435935779,5.506546564064219,87.3529411764706,0.27999999999999936,0.4350000000000002,7.219499999999999,5.5893500000000005,2.5299999999999994,2.850147361491903,9.2,5.01,4.1899999999999995,0.09999999999999964,1,-0.2653033137631414,8.53
2012-07-20,9.2,9.2,7.93,8.53,1747.30107887,7.9990000000000006,6.515999999999999,0.7025948103792414,1.01548997385777,7.319,9.095761098178365,5.542238901821636,74.4360902255639,1.2699999999999996,0.5064285714285716,7.319,5.607800000000001,1.5299999999999994,1.8024333051879373,9.2,5.06,4.14,-0.6699999999999999,0,-0.20975790699104213,8.86
2012-07-21,8.53,8.91,8.2,8.86,2420.60758803,8.175,6.5888,0.7475345167652858,1.0560553802247779,7.435,9.29843768342276,5.571562316577239,75.9433962264151,0.7100000000000009,0.5485714285714288,7.435,5.6271,1.7599999999999998,1.9687459844311423,9.2,5.06,4.14,0.33000000000000007,1,0.385340865007326,8.64
2012-07-22,8.86,8.86,8.3,8.64,1351.23842027,8.328999999999999,6.6574,0.7007874015748032,1.0835698872546142,7.539499999999999,9.428208553483035,5.650791446516964,71.49425287356324,0.5599999999999987,0.5635714285714287,7.539499999999999,5.64385,1.540000000000001,1.578802198702225,9.2,5.06,4.14,-0.21999999999999886,0,-0.4417771691074889,8.78
2012-07-23,8.64,8.88,8.1,8.78,2523.65035025,8.441999999999998,6.7292,0.7148437499999998,1.1128115129153013,7.654999999999999,9.550840321945856,5.759159678054142,74.03189066059227,0.7800000000000011,0.5878571428571432,7.654999999999999,5.6599,1.129999999999999,1.5898166921437948,9.2,5.06,4.14,0.1399999999999988,1,0.867657337441406,8.57
2012-07-24,8.78,8.8,8.25,8.57,1316.15570239,8.555,6.796,0.6836935166994107,1.1305935019566815,7.759,9.613506885798397,5.904493114201604,68.38407494145201,0.5500000000000007,0.5942857142857145,7.759,5.67065,1.13,1.2743545493795156,9.2,5.06,4.14,-0.20999999999999908,0,-0.4784714521725968,8.49
2012-07-25,8.57,8.7,8.24,8.49,705.59741321,8.664,6.8591999999999995,0.6745562130177514,1.1423586834186221,7.850499999999999,9.656647105974768,6.04435289402523,66.35294117647061,0.4599999999999991,0.6171428571428573,7.850499999999999,5.6811,1.0899999999999999,1.1157389143584178,9.2,5.06,4.14,-0.08000000000000007,0,-0.4638951820603675,8.61
2012-07-26,8.49,8.67,8.26,8.61,1748.74614989,8.719999999999999,6.921800000000001,0.7015810276679841,1.1542835476929327,7.952,9.684167489166766,6.219832510833234,67.27688787185356,0.41000000000000014,0.6400000000000002,7.952,5.69015,0.5599999999999987,1.1576759462600985,9.2,5.08,4.119999999999999,0.11999999999999922,1,1.478390817696405,8.83
2012-07-27,8.61,8.91,8.45,8.83,989.07316267,8.761,6.9888,0.7381889763779528,1.1699665720271775,8.060500000000001,9.72233760052729,6.398662399472712,64.60396039603961,0.46000000000000085,0.6307142857142859,8.060500000000001,5.6998,0.41000000000000014,1.2878507462993318,9.2,5.12,4.079999999999999,0.22000000000000064,1,-0.4344100984970204,8.9
2012-07-28,8.83,9.0,8.8,8.9,1476.5642758,8.741,7.054599999999999,0.73828125,1.1851462399929806,8.167,9.751837365058066,6.582162634941934,68.71794871794873,0.1999999999999993,0.6300000000000001,8.167,5.711899999999999,-0.1999999999999993,1.266892301219261,9.2,5.13,4.069999999999999,0.07000000000000028,1,0.4928766966176892,8.72
